gabinete_datajud,ministro_atas,turma,inicio,fim,aberto_inicio,aberto_fim,movs_corpus
GABINETE DO MINISTRO JOEL ILAN PACIORNIK,JOEL ILAN PACIORNIK,QUINTA TURMA,202408,202608,sim,sim,24805
GABINETE DA MINISTRA DANIELA TEIXEIRA,DANIELA TEIXEIRA,QUINTA TURMA,202408,202502,sim,nao,23890
GABINETE DO MINISTRO RIBEIRO DANTAS,RIBEIRO DANTAS,QUINTA TURMA,202408,202608,sim,sim,21016
GABINETE DO MINISTRO REYNALDO SOARES DA FONSECA,REYNALDO SOARES DA FONSECA,QUINTA TURMA,202408,202608,sim,sim,20975
GABINETE DO MINISTRO MESSOD AZULAY NETO,MESSOD AZULAY NETO,QUINTA TURMA,202408,202608,sim,sim,20408
GABINETE DO MINISTRO ANTONIO SALDANHA PALHEIRO,ANTONIO SALDANHA PALHEIRO,SEXTA TURMA,202408,202604,sim,nao,33004
GABINETE DO MINISTRO SEBASTIÃO REIS JÚNIOR,SEBASTIÃO REIS JÚNIOR,SEXTA TURMA,202408,202608,sim,sim,28497
GABINETE DO MINISTRO ROGERIO SCHIETTI,ROGERIO SCHIETTI CRUZ,SEXTA TURMA,202408,202608,sim,sim,26534
GABINETE DO DESEMBARGADOR CONVOCADO OTÁVIO DE ALMEIDA TOLEDO,OTÁVIO DE ALMEIDA TOLEDO (DESEMBARGADOR CONVOCADO DO TJSP),SEXTA TURMA,202408,202509,sim,nao,12208
GABINETE DO MINISTRO OG FERNANDES,OG FERNANDES,SEXTA TURMA,202409,202608,nao,sim,13971
