assunto,n,taxa_admissao,pct_mp_recorrente
Tráfico de Drogas e Condutas Afins,2174,19.4%,36.7%
Homicídio Qualificado,740,4.1%,21.1%
Roubo Majorado,387,0.8%,15.0%
Progressão de Regime,209,1.0%,90.9%
Pena Privativa de Liberdade,197,3.0%,76.6%
Furto Qualificado ,186,1.6%,3.2%
Crimes do Sistema Nacional de Armas,184,15.2%,21.7%
Crimes contra a Ordem Tributária,179,0.0%,5.0%
Estelionato,151,0.7%,0.7%
"Promoção, constituição, financiamento ou integração de Organização Criminosa",150,2.7%,9.3%
Crimes de Trânsito,105,1.9%,1.0%
